produto_id,quantidade,nome
20762,100,UNO SMART/FIORINO 97/01 / PALIO 96/99
20763,100,UNO 91/03 FILETE
20764,100,UNO FIRE/PALIO YONG 65MM
20765,100,FIORINO / PALIO / SIENA 85MM
20766,100,M15012 UNO FIRE/PALIO
20767,100,FORD
20768,100,GM
20769,100,M35012 CORSA GRAVATA DOURADA
20770,100,M35020 CORSA ( COPINHO )
20771,100,CELTA/PRISMA 12...
20772,100,M39014 MONTANA/AGILE 12
20773,100,GM/ASTRA
20774,100,VW
20775,100,M45011 GOL 91/95 MAIOR
20776,100,M45012 GOL 95/98 MENOR
20777,100,GOL G4/ FOX 03/09
20778,100,EMBLEMA TAMPA TRASEIRA
20779,100,FIAT
20780,100,FORD
20781,100,GM
20782,100,M39015 AGILE
20783,100,MONTANA/CORSA ( SPORT RESINADO )
20784,100,VW
20785,100,IMPORTADOS
20786,100,FIT 09... TAMPA TRASEIRA
20787,100,LANTERNA DIANTEIRA
20788,100,FIAT
20789,100,UNO 84/90 CRISTAL LD
20790,100,UNO 84/90 CRISTAL LE
20791,100,UNO 84/90 AMBAR LD
20792,100,UNO 84/90 AMBAR LE
20793,100,UNO/PREMIO/FIORINO 91.. CRISTAL C L.D
20794,100,UNO/PREMIO/FIORINO 91.. CRISTAL C L.E
20795,100,PALIO 95/98 CRISTAL C/C L.D
20796,100,PALIO 95/98 CRISTAL C/C L.E
20797,100,FORD
20798,100,CORCEL II AMBAR L.D
20799,100,CORCEL II AMBAR L.E
20800,100,CORCEL II CRISTAL L.D
20801,100,CORCEL II CRISTAL L.E
20802,100,ESCORT 84/86 AMBAR L.D
20803,100,ESCORT 84/86 AMBAR L.E
20804,100,ESCORT 84/86 CRISTAL L.D
20805,100,ESCORT 84/86 CRISTAL L.E
20806,100,DEL REY / CORCEL 85/91 AMBAR L.D
20807,100,DEL REY / CORCEL 85/91 AMBAR L.E
20808,100,DEL REY / CORCEL 85/91 CRISTAL L.D
20809,100,DEL REY / CORCEL 85/91 CRISTAL L.E
20810,100,ESCORT / APOLLO 87/92 AMBAR L.D
20811,100,ESCORT / APOLLO 87/92 AMBAR L.E
20812,100,ESCORT / APOLLO 87/92 CRISTAL L.D
20813,100,ESCORT / APOLLO 87/92 CRISTAL L.E
20814,100,ESCORT / VERONA 93/96 CRISTAL LD
